year,month,precip_mm,temp_C
2017,11,12.11,19.93
2017,12,1.16,19.93
2018,1,0.66,20.15
2018,2,1.68,21.7
2018,3,10.5,20.15
2018,4,17.07,19.16
2018,5,17.02,19.65
2018,6,9.44,18.99
2018,7,5.9,18.61
2018,8,6.25,19.04
2018,9,4.11,20.36
2018,10,5.45,20.39
2018,11,5.14,20.78
2018,12,5.79,20.23
2019,1,0.81,20.86
2019,2,0.77,22.2
2019,3,2.68,22.79
2019,4,6.0,22.76
2019,5,10.57,20.92
2019,6,9.67,19.22
2019,7,5.92,19.24
2019,8,8.8,19.53
2019,9,7.37,20.2
2019,10,17.9,20.23
2019,11,13.3,20.13
2019,12,12.63,19.58
2020,1,8.12,20.23
2020,2,4.23,20.73
2020,3,11.27,21.02
2020,4,12.97,20.37
2020,5,14.83,20.17
2020,6,11.3,19.17
2020,7,5.68,18.71
2020,8,9.16,19.22
2020,9,9.8,19.96
2020,10,10.22,20.13
2020,11,11.23,20.32
2020,12,2.6,19.93
2021,1,2.58,19.9
2021,2,2.0,20.72
2021,3,2.7,21.57
2021,4,11.98,20.8
2021,5,11.67,20.05
2021,6,2.12,19.65
2021,7,4.22,18.95
2021,8,5.33,19.82
2021,9,8.31,20.11
2021,10,5.24,20.8
2021,11,5.55,21.04
2021,12,5.37,20.38
2022,1,2.73,19.77
2022,2,2.24,20.89
2022,3,3.35,22.1
2022,4,8.5,21.36
2022,5,9.57,20.39
2022,6,4.59,19.35
2022,7,6.75,19.24
2022,8,9.19,19.11
2022,9,9.68,19.92
2022,10,4.64,20.54
2022,11,5.98,20.19
2022,12,4.7,20.13
2023,1,0.54,19.96
2023,2,0.98,21.84
2023,3,14.82,20.89
2023,4,15.95,20.64
2023,5,9.8,20.65
2023,6,7.1,20.03
2023,7,4.22,19.69
2023,8,4.95,20.54
2023,9,9.91,20.78
2023,10,9.72,21.34
2023,11,22.77,20.24
2023,12,3.55,20.61
